Muscle_Group,Exercise
Shoulders,Half Kneeling High Cable Row Rope
Trapezius,Half Kneeling High Cable Row Rope
Calf,Calf Raise
Shoulders,Leaning Cable Lateral Raise
Shoulders,Dumbbell Raise
Trapezius,Dumbbell Raise
Shoulders,Dumbbell Upright Row
Trapezius,Dumbbell Upright Row
Neck,Weighted Neck Harness Extension
Neck,Lying Weighted Neck Flexion
Neck,Lying Weighted Neck Extension
Neck,Lever Neck Right Side Flexion (plate loaded)
Neck,Lever Neck Extension (plate loaded)
Neck,Cable Seated Neck Flexion with head harness
Neck,Cable Seated Neck Extension with head harness
Abs,Alternate Leg Raises
Yoga,Bhekasana Frog Pose
Yoga,Balasana | Child Pose
Yoga,Anuvittasana | Standing Backbend Pose
Yoga,Anjaneyasana | Low Lunge Pose
Yoga,Eka Pada Setu Bandha Sarvangasana
Yoga,Dandayamana Bharmanasana | Balancing Table Pose
Yoga,Chaturanga Dandasana | Low Plank Pose
Yoga,Bitilasana | Cow Pose
Not specified,Side Bend With Resistance Band
Calf,Calf Raise with Resistance Band
Yoga,Pada Hastasana | Hands to Feet Pose
Yoga,Titli Asana | Butterfly Pose
Yoga,Baddha Konasana | Butterfly Pose
Yoga,Makarasana - Crocodile Pose
Yoga,Ardha Uttanasana | Standing Half Forward Bend
Yoga,Ardha Kapotasana - Half Pigeon Pose
Yoga,Advasana | Reverse Corpse Pose
Yoga,Adho Mukha Vrksasana Yoga | Handstand Pose
Yoga,Adho Mukha Svanasana | Downward Facing Dog
Yoga,Tadasana | Mountain Pose
Yoga,Supta Baddha Konasana | Reclining Bound Angle
Yoga,Viparita Karani | Legs ups the Wall Pose
Yoga,Supta Matsyendrasana | Supine Spinal Twist
Yoga,Samakonasana | Straight Angle Pose
Yoga,Shoulderstand | Salamba Sarvangasana
Yoga,Nauka Sanchalanasan | Rowing the Boat Pose
Yoga,Malasana | Squat Pose or Garland Pose
Yoga,Full Lotus Pose
Yoga,Halasana | Plow Pose
Yoga,Locust Pose
Yoga,Wheel Pose | Chakrasana | Urdhva Dhanurasana
Yoga,Garudasana | Eagle Pose
Yoga,Crab Pose
Yoga,Childs Pose To Cobra Pose
Yoga,Camel Pose
Yoga,Bridge Pose
Yoga,Saithalyasana (Animal Relaxation Pose)
Back / Wing,Lever Front Pulldown
Back / Wing,Pull-Up
Calisthenic,Pull-Up
Back / Wing,Cable Rear Pulldown
Back / Wing,Lat Pulldown
Back / Wing,Seated Cable Row
Back / Wing,Barbell Bent Over Row
Erector Spinae,Barbell Bent Over Row
Full Body,Barbell Bent Over Row
Back / Wing,Cable Straight Arm Pulldown
Back / Wing,Legless Rope Climb
Calisthenic,Legless Rope Climb
Full Body,Legless Rope Climb
Cardio,Push-up Toe Touch
Full Body,Push-up Toe Touch
Back / Wing,Lever T-Bar Row
Back / Wing,Dumbbell Row
Back / Wing,Bent Over Dumbbell Row
Erector Spinae,Bent Over Dumbbell Row
Full Body,Bent Over Dumbbell Row
Back / Wing,Dumbbell Bent Over Reverse Grip Row
Back / Wing,Reverse Lat-Pulldown
Back / Wing,Muscle-Up
Calisthenic,Muscle-Up
Full Body,Muscle-Up
Hip,Squat
Leg,Squat
Back / Wing,Seated Row Machine
Back / Wing,One Arm Cable Row
Back / Wing,Reverse Grip Barbell Row
Abs,Crunches
Leg,Leg Press
Abs,Mountain Climber
Cardio,Mountain Climber
Abs,Bicycle Crunch
Cardio,Bicycle Crunch
Abs,Lying Scissor Kick
Hip,Plie Dumbbell Squat
Leg,Plie Dumbbell Squat
Back / Wing,Deadlift
Erector Spinae,Deadlift
Hip,Deadlift
Leg,Deadlift
Triceps,Dumbbell Kickback
Biceps,Dumbbell Curl
Biceps,Barbell Curl
Abs,Leg Raise
Abs,Oblique Floor Crunches
Abs,T-Cross Sit-up
Cardio,T-Cross Sit-up
Leg,Leg Curl
Triceps,One-Arm Reverse Pushdown
Triceps,Push-down
Biceps,Concentration Curl
Leg,Seated Leg Curl
Abs,Dead Bug
Abs,Decline Sit-up
Leg,Leg Extension
Abs,Reverse Crunch
Triceps,Bench Dips
Triceps,Triceps Dips
Biceps,Dumbbell Preacher Curl
Biceps,EZ Bar Preacher Curl
Biceps,Hammer Curl
Biceps,Seated Incline Dumbbell Curl
Calf,Barbell Seated Calf Raise
Abs,Kneeling Cable Crunch
Abs,Heel Touch
Triceps,One-Arm Lying Triceps Extension
Shoulders,Bodyweight Military Press
Trapezius,Bodyweight Military Press
Biceps,Lever Preacher Curl
Biceps,High Cable Single Arm Bicep Curl
Triceps,Cable Rope Overhead Triceps Extension
Triceps,Lever Triceps Dip
Back / Wing,Romanian Deadlift
Erector Spinae,Romanian Deadlift
Hip,Romanian Deadlift
Leg,Romanian Deadlift
Chest,Pec Deck Fly
Chest,Dumbbell Pullover
Chest,Low Cable Crossover
Chest,High Cable Crossover
Chest,Cable Upper Chest Crossovers
Chest,Incline Barbell Bench Press
Chest,Dumbbell Fly
Chest,Dumbbell Bench Press
Chest,Cable Crossover
Chest,One-Arm Cable Chest Press
Triceps,Lying Barbell Triceps Extension
Biceps,One Arm Cable Curl
Full Body,Push Press
Shoulders,Push Press
Chest,Single-Arm Cable Crossover
Chest,Incline Dumbbell Fly
Chest,Incline Dumbbell Press
Chest,Reverse Grip Incline Dumbbell Press
Erector Spinae,Sphinx Stretch
Neck,Sphinx Stretch
Abs,Standing Rotation
Back / Wing,Upper Back Stretch
Triceps,Cable Tricep Kickback
Chest,Machine Fly
Forearm,Barbell Reverse Curl
Hip,Barbell Hack Squats
Leg,Barbell Hack Squats
Triceps,Triceps Dips on Floor
Back / Wing,Kneeling High Pulley Row
Trapezius,Kneeling High Pulley Row
Forearm,Cable One-Arm Wrist Curl On Floor
Hip,Barbell Sumo Squat
Leg,Barbell Sumo Squat
Hip,Lever Standing Rear Kick
Triceps,Dumbbell Seated Front and Back Tate Press
Chest,Decline Dumbbell Press
Erector Spinae,Good Morning
Hip,Good Morning
Leg,Good Morning
Leg,Dumbbell Bulgarian Split Squat
Erector Spinae,Weighted Back Extension
Chest,Lever Incline Chest Press
Erector Spinae,Dumbbell Romanian Deadlift
Hip,Dumbbell Romanian Deadlift
Leg,Dumbbell Romanian Deadlift
Leg,Hack Squats Machine
Forearm,Hand Gripper
Back / Wing,Sumo Deadlift
Erector Spinae,Sumo Deadlift
Hip,Sumo Deadlift
Leg,Sumo Deadlift
Back / Wing,Half Kneeling Lat Pulldown
Cardio,Power Skips
Cardio,Plyo Jacks
Cardio,Split Jacks
Leg,Pistol Squat
Cardio,Butt Kicks
Cardio,Fast Feet Run
Cardio,Wheel Run
Hip,Dumbbell Lunge
Leg,Dumbbell Lunge
Back / Wing,Dumbbell Straight Leg Deadlift
Erector Spinae,Dumbbell Straight Leg Deadlift
Leg,Dumbbell Straight Leg Deadlift
Hip,Lever Side Hip Abduction
Leg,Lever Side Hip Abduction
Hip,Bodyweight Sumo Squat
Leg,Bodyweight Sumo Squat
Leg,Hawaiian Squat
Leg,Lever Standing Leg Raise
Hip,Lever Side Hip Adduction
Leg,Lever Side Hip Adduction
Leg,Barbell Bulgarian Split Squat
Leg,Lever Deadlift
Hip,Dumbbell Rear Lunge
Leg,Dumbbell Rear Lunge
Leg,Barbell Lunge
Hip,Barbell Lateral Lunge
Leg,Barbell Lateral Lunge
Calf,Leg Press Calf Raise
Leg,Side Lunge
Hip,Standing Hip Abduction
Hip,Cable Hip Adduction
Leg,Cable Hip Adduction
Cardio,Zig Zag Hops Plyometric
Leg,Zig Zag Hops Plyometric
Cardio,Bodyweight Squat
Hip,Bodyweight Squat
Leg,Bodyweight Squat
Leg,Upavistha Konasana
Yoga,Upavistha Konasana
Hip,Side Lying Clam
Erector Spinae,Seated Hamstring Stretch
Leg,Seated Hamstring Stretch
Calf,Hack Squat Calf Raise
Leg,Kneeling Quad Stretch
Cardio,Lateral Speed Step
Leg,Lateral Speed Step
Erector Spinae,Kettlebell Single Leg Deadlift
Hip,Kettlebell Single Leg Deadlift
Leg,Seated Groin / Adductor Stretch
Hip,Reverse Lunge Knee Lift
Leg,Reverse Lunge Knee Lift
Leg,Lying Hamstring Stretch
Cardio,Curtsy Squat
Hip,Curtsy Squat
Leg,Curtsy Squat
Hip,Cable Goblet Squat
Leg,Cable Goblet Squat
Hip,Cable Donkey Kickback
Hip,Bridge Hip Abduction
Abs,Standing Toe Touch
Hip,Thigh fly (Adductor Magnus Stretch)
Leg,Thigh fly (Adductor Magnus Stretch)
Cardio,Split Jump Squat
Hip,Split Jump Squat
Leg,Split Jump Squat
Hip,Cossack Squat
Leg,Cossack Squat
Hip,Glute Kickback Machine
Calf,Lever Seated Calf Raise
Calf,Single Leg Calf Raise
Abs,Crunch With Leg Raise
Abs,Alternate Lying Floor Leg Raise
Chest,Chest Dips
Calf,Hack Machine One-Leg Calf Raise
Chest,Assisted Chest Dip
Calf,Donkey Calf Raise
Calf,Lever Donkey Calf Raise
Calf,Bench Press Machine Standing Calf Raise
Chest,Lying Cable Fly
Chest,Drop Push-Up
Abs,Weighted Crunch
Abs,Seated Side Crunch
Leg,Seated Side Crunch
Calf,Standing Cross Leg Hamstring Stretch
Hip,Standing Cross Leg Hamstring Stretch
Leg,Standing Cross Leg Hamstring Stretch
Cardio,Backward Jump
Leg,Backward Jump
Cardio,Jumping jack
Leg,Jumping jack
Cardio,Single Leg Broad Jump
Leg,Single Leg Broad Jump
Abs,Incline Leg Hip Raise
Abs,Bodyweight Windmill
Leg,Bodyweight Windmill
Abs,Front to Side Plank
Abs,Tuck Crunch
Abs,Dumbbell Side Bend
Abs,Double Leg Stretch
Abs,Spider Plank
Cardio,Spider Plank
Abs,Captains Chair Leg Raise
Calisthenic,Captains Chair Leg Raise
Abs,Bench Side Bend
Abs,Crab Twist Toe Touch
Abs,Quarter Sit-up
Abs,Weighted Sit-ups
Abs,Lying Knee Raise
Abs,Floor Crunch
Shoulders,Ez Bar Upright Row
Trapezius,Ez Bar Upright Row
Chest,Inner Chest Press Machine
Chest,Decline Dumbbell Fly
Chest,Incline Dumbbell Hammer Press
Cardio,Run in Place
Cardio,Jump Squats
Hip,Jump Squats
Leg,Jump Squats
Triceps,Kneeling Cable Triceps Extension
Triceps,Cable Rear Drive
Cardio,Short Stride Run
Erector Spinae,Hyperextension
Abs,Reverse Plank
Hip,Reverse Plank
Shoulders,Dumbbell Lying One-Arm Rear Lateral Raise
Shoulders,Lateral Raise Machine
Shoulders,Scott Press
Shoulders,Band Pull-Apart
Trapezius,Band Pull-Apart
Shoulders,Bent Over Reverse Cable Fly
Trapezius,Bent Over Reverse Cable Fly
Shoulders,Bent-Over Barbell Reverse Raise
Trapezius,Bent-Over Barbell Reverse Raise
Shoulders,Weighted Round Arm
Shoulders,Weight Plate Front Raise
Chest,Dumbbell Upward Fly
Shoulders,Two Arm Cable Lateral Raise
Full Body,Landmine Squat to Press
Hip,Landmine Squat to Press
Leg,Landmine Squat to Press
Shoulders,Landmine Squat to Press
Shoulders,Cable Shoulder Press
Shoulders,Barbell Rear Delt Raise
Trapezius,Barbell Rear Delt Raise
Shoulders,Double Cable Front Raise
Hip,Standing Hip Extension
Shoulders,Standing Smith Machine Shoulder Press
Shoulders,Dumbbell W Press
Shoulders,Dumbbell One Arm Shoulder Press
Shoulders,Dumbbell Scaption
Full Body,Barbell Clean and Press
Leg,Barbell Clean and Press
Shoulders,Barbell Clean and Press
Shoulders,Dumbbell Cuban Press
Shoulders,Dumbbell Cuban External Rotation
Shoulders,Standing Alternating Dumbbell Shoulder Press
Chest,Narrow Grip Wall Push-Up
Triceps,Narrow Grip Wall Push-Up
Shoulders,Cable External Shoulder Rotation
Shoulders,Cable Internal Shoulder Rotation
Back / Wing,Across Chest Shoulder Stretch
Shoulders,Across Chest Shoulder Stretch
Back / Wing,Standing Reach Up Back rotation Stretch
Shoulders,Standing Reach Up Back rotation Stretch
Back / Wing,Shoulder Stretch Behind The Back
Chest,Shoulder Stretch Behind The Back
Shoulders,Shoulder Stretch Behind The Back
Triceps,Shoulder Stretch Behind The Back
Shoulders,Incline Dumbbell Side Lateral Raise
Triceps,Body Ups
Hip,Bench Glute Flutter Kicks
Shoulders,Dumbbell Side Lying Rear Delt Raise
Hip,Dumbbell Lateral Step Up
Leg,Dumbbell Lateral Step Up
Back / Wing,Smith Machine Bent Over Row
Back / Wing,Incline Reverse Grip Dumbbell Row
Cardio,Lateral Step-up
Leg,Lateral Step-up
Cardio,Step Up + Opposite Elbow to Knee Twist
Leg,Step Up + Opposite Elbow to Knee Twist
Cardio,Band Assisted Sprinter Run
Hip,Barbell Step-Up
Leg,Barbell Step-Up
Full Body,Power Clean
Back / Wing,Barbell Pullover
Back / Wing,Cable Pullover
Back / Wing,Weighted Pull-up
Back / Wing,Reverse grip Pull-up
Back / Wing,Close Grip Chin Up
Calisthenic,Close Grip Chin Up
Back / Wing,Assisted Pull-up
Shoulders,Lying Cable Reverse Fly
Erector Spinae,Floor Hyperextension
Neck,Floor Hyperextension
Erector Spinae,Flat Bench Hyperextension
Hip,Lying Glute Stretch
Leg,Lying Glute Stretch
Chest,Decline Chest Press Machine
Chest,Lying Chest Press Machine
Chest,Wall Push-up
Triceps,Wall Push-up
Triceps,Cable Lying Triceps Extensions
Shoulders,Single Arm Circles
Leg,Lying Dumbbell Leg Curl
Calf,Standing Barbell Calf Raise
Back / Wing,Table Inverted Row
Triceps,Chair Dips
Erector Spinae,Reverse Hyperextension Machine
Hip,Reverse Hyperextension Machine
Abs,Stability Ball Knee Tuck
Chest,Smith Machine Hex Press
Chest,Close-grip Incline Dumbbell Press
Abs,Hanging Knee Raises
Calisthenic,Hanging Knee Raises
Abs,Hanging Side Knee Raises
Calisthenic,Hanging Side Knee Raises
Trapezius,Smith Machine Shrug
Abs,Hanging Windshield Wiper
Calisthenic,Hanging Windshield Wiper
Abs,Toes to Bar
Calisthenic,Toes to Bar
Abs,Weighted Hanging Knee Raises
Chest,Kneeling Push-up
Biceps,Lying Cable Curl
Biceps,Zottman Curl
Biceps,Dumbbell Reverse Curl
Forearm,Dumbbell Reverse Curl
Biceps,Seated Close-Grip Concentration Curl
Biceps,Biceps Leg Concentration Curl
Biceps,Prone Incline Barbell Curl
Biceps,Overhead Cable Curl
Biceps,Seated Hammer Curl
Forearm,Seated Hammer Curl
Biceps,Seated Biceps Curl
Triceps,Seated One-Arm Dumbbell Triceps Extension
Triceps,Seated Dumbbell Triceps Extension
Back / Wing,Cable One Arm Lat Pulldown
Chest,Decline Cable Fly
Biceps,Single Arm Cable Preacher Curl
Chest,Smith Machine Bench Press
Biceps,Cable Concentration Curl
Chest,Smith Machine Incline Bench Press
Back / Wing,Reverse Grip Machine Row
Biceps,Reverse Grip EZ-Bar Curl
Forearm,Reverse Grip EZ-Bar Curl
Biceps,Dumbbell Scott Hammer Curl
Forearm,Dumbbell Scott Hammer Curl
Triceps,Lever Triceps Extension
Triceps,Bench Dips on Floor
Abs,Teaser Pilates
Abs,Seated Oblique Twist
Full Body,Turkish Get-up
Calisthenic,Parallel Bar Dips
Chest,Parallel Bar Dips
Triceps,Parallel Bar Dips
Hip,Bodyweight Hip Thrust
Back / Wing,Close Grip Cable Row
Back / Wing,Rope Straight Arm Pulldown
Abs,Side Bridge
Back / Wing,V-bar Lat Pulldown
Back / Wing,One-Arm Barbell Row
Abs,Plank With Arm And Leg Lift
Hip,Plank With Arm And Leg Lift
Leg,Plank With Arm And Leg Lift
Back / Wing,T-Bar Row
Erector Spinae,T-Bar Row
Abs,Weighted Front Plank
Leg,Weighted Front Plank
Cardio,Backward Running
Shoulders,Dumbbell Lateral to Front Raise
Not specified,Resistance Band Bicycle Crunch
Back / Wing,Incline Cable Row
Shoulders,One-Arm Bent Over Cable Lateral Raise
Back / Wing,Cable Bent Over Row
Back / Wing,Standing Side Bend Stretch
Calisthenic,Handstand Push-Up
Shoulders,Handstand Push-Up
Shoulders,EZ Bar Underhand Press
Back / Wing,Back and Pec Stretch
Chest,Back and Pec Stretch
Biceps,Lying High Bench Barbell Curl
Hip,Single Leg Bridge
Calf,Weighted Donkey Calf Raise
Back / Wing,Double Cable Neutral Grip Lat Pulldown On Floor
Abs,Cable Side Bend
Shoulders,Dumbbell Lying External Shoulder Rotation
Chest,Lever Incline Hammer Chest Press
Chest,Lever Crossovers
Shoulders,Incline Dumbbell Reverse Fly
Trapezius,Incline Dumbbell Reverse Fly
Shoulders,Incline Dumbbell Y-Raise
Trapezius,Incline Dumbbell Y-Raise
Shoulders,Dumbbell Incline T-Raise
Trapezius,Dumbbell Incline T-Raise
Triceps,Dumbbell Skull Crusher
Triceps,Dumbbell Incline Two-Arm Extension
Triceps,One-Arm Pronated Dumbbell Triceps Extension
Biceps,Cable Rope Hammer Curl
Triceps,Seated EZ-Bar Overhead Triceps Extension
Back / Wing,Incline Barbell Row
Erector Spinae,Smith Machine Good Morning
Hip,Smith Machine Good Morning
Leg,Smith Machine Good Morning
Chest,Reverse Grip Dumbbell Bench Press
Erector Spinae,Cable Pull Through
Hip,Cable Pull Through
Shoulders,Bench Supported Dumbbell External Rotation
Back / Wing,Kneeling Single Arm High Pulley Row
Abs,Barbell Side Bend
Abs,Seated Barbell Twist
Abs,Bent Over Twist
Shoulders,Dumbbell Seated Bent Over Rear Delt Row
Triceps,Cable Incline Triceps Extension
Chest,Lever Chest Press
Chest,Incline Push-up
Chest,Svend Press
Abs,Dumbbell V-up
Calisthenic,Reverse Push-up
Chest,Reverse Push-up
Triceps,Reverse Push-up
Shoulders,Dumbbell Standing Palms In Press
Cardio,Side Shuttle
Biceps,Biceps Curl Machine
Biceps,Dumbbell High Curl
Shoulders,Lying Shoulder Press
Triceps,Cable Side Triceps Extension
Shoulders,Dumbbell Rear Delt Row
Abs,Lever Lying Crunch
Shoulders,Lever Lateral Raise
Chest,Alternate Dumbbell Bench Press
Abs,Twisting Hyperextension
Erector Spinae,Twisting Hyperextension
Calf,Squat Hold Calf Raise
Abs,Ab Roller Crunch
Triceps,Incline EZ-Bar Triceps Extension
Leg,Bodyweight Walking Lunge
Triceps,High Pulley Overhead Tricep Extension
Triceps,Rope Pushdown
Triceps,Reverse Grip Pushdown
Abs,Standing Cable High-To-Low Twist
Abs,Standing Cable Low-To-High Twist
Abs,Standing Cable Twist
Calisthenic,Cross Arm Push-up
Triceps,Cross Arm Push-up
Back / Wing,Upside Down Pull-up
Calisthenic,Upside Down Pull-up
Triceps,Cable Concentration Extension on Knee
Cardio,Tuck Jump
Abs,L-Sit
Calisthenic,L-Sit
Chest,Close-Grip Dumbbell Press
Triceps,Close-Grip Dumbbell Press
Hip,Wall Sit
Leg,Wall Sit
Abs,High Knee Squat
Cardio,High Knee Squat
Hip,High Knee Squat
Leg,High Knee Squat
Back / Wing,Swimming
Erector Spinae,Swimming
Hip,Swimming
Trapezius,Swimming
Cardio,Boxer Shuffle Cardio
Cardio,Jab Boxing
Cardio,Punches
Cardio,Right Uppercut
Cardio,Right Cross
Cardio,Hook Kick
Cardio,Boxing Right Cross
Calisthenic,Clap Push-Up
Chest,Clap Push-Up
Cardio,Walking High Knee Lunges
Cardio,High Knees Lift Run
Chest,Above Head Chest Stretch
Chest,Dynamic Chest Stretch
Leg,Kettlebell Pistol Squats
Shoulders,Kettlebell One-Arm Military Press
Erector Spinae,Frog Reverse Hyperextension
Hip,Frog Reverse Hyperextension
Hip,Kettlebell Split Snatch
Leg,Kettlebell Split Snatch
Shoulders,Kettlebell Split Snatch
Abs,Kettlebell Windmill
Shoulders,Kettlebell Windmill
Abs,Kettlebell Swings
Full Body,Kettlebell Swings
Hip,Kettlebell Swings
Leg,Kettlebell Swings
Shoulders,Kettlebell Swings
Shoulders,Kettlebell Arnold Press
Shoulders,Bent Over Rear Delt Fly | Gymstick
Trapezius,Bent Over Rear Delt Fly | Gymstick
Hip,Bodyweight Single Leg Deadlift
Back / Wing,Brachialis Pull-up
Biceps,Brachialis Pull-up
Abs,Full Crunch Machine
Hip,Bodyweight Box Squat
Leg,Bodyweight Box Squat
Chest,Single Dumbbell Close-grip Press
Triceps,Single Dumbbell Close-grip Press
Abs,Front Plank with Arm Lift
Abs,Bhujangasana | Cobra Abdominal Stretch
Neck,Bhujangasana | Cobra Abdominal Stretch
Yoga,Bhujangasana | Cobra Abdominal Stretch
Hip,Step Up Single Leg Balance with Bicep Curl
Leg,Step Up Single Leg Balance with Bicep Curl
Erector Spinae,Bird Dog
Hip,Bird Dog
Abs,Ab Straps Leg Raise
Calisthenic,Ab Straps Leg Raise
Hip,Dumbbell Step-Up
Leg,Dumbbell Step-Up
Hip,Belt Squat
Leg,Belt Squat
Back / Wing,Close Grip Lat-Pulldown
Back / Wing,Seated Cable Rope Row
Erector Spinae,Seated Cable Rope Row
Leg,Lever Single Leg Curl
Hip,Reverse Lunge
Leg,Reverse Lunge
Chest,Kneeling Diamond Push-Up
Triceps,Kneeling Diamond Push-Up
Cardio,Jack Burpees
Leg,Single Leg Step Down
Forearm,Behind The Back Barbell Wrist Curl
Calisthenic,Dips Between Chairs
Chest,Dips Between Chairs
Triceps,Dips Between Chairs
Shoulders,Cable Seated Shoulder Internal Rotation
Shoulders,Half Kneeling Cable External Rotation
Shoulders,Landmine Lateral Raise
Back / Wing,Cable Seated Pullover
Shoulders,Seated Dumbbell Front Raise
Cardio,Astride Jumps
Abs,Boat Pose
Leg,Boat Pose
Back / Wing,Scapular Protraction and Retraction
Shoulders,Scapular Protraction and Retraction
